Number of Threads,Read + Setup,Computation Time,Write,Total Time,,Time (ms),,Small,Number of Threads,Read + Setup,Computation Time,Write,Total Time,,Time
1,216,55887,889,56993,,57430,,,1,33,3294,65,3393,,3406
2,212,27637,1092,28942,,28810,,,2,107,1676,65,1849,,1734
4,217,14076,1540,15834,,15049,,,4,22,841,104,968,,896
8,212,7105,1260,8578,,7949,,,8,104,414,63,582,,490
16,220,3648,928,4796,,4601,,,16,31,215,62,309,,277
32,223,2035,1281,3541,,2895,,,32,28,117,62,208,,181
64,225,1030,964,2220,,1954,,,64,24,61,76,162,,124
128,215,568,1204,1987,,1859,,,128,27,38,61,127,,97
256,222,577,1155,1955,,1879,,,256,23,60,59,144,,113
,,,,,,,,,,,,,,,
"File Read/Write time is the same, computation time varies as we parallelize. ",,,,,,,,,,,,,,,